timestamp,poor_signal,attention,meditation,blink_strength,raw_wave,delta,delta_normalized,theta,theta_normalized,low_alpha,low_alpha_normalized,high_alpha,high_alpha_normalized,low_beta,low_beta_normalized,high_beta,high_beta_normalized,low_gamma,low_gamma_normalized,mid_gamma,mid_gamma_normalized
2026-05-17T16:06:33,80,0,0,,,998991,0.9999,805511,0.9843,187506,0.8788,326167,0.9189,152885,0.8641,217033,0.8894,184504,0.8777,812251,0.9849
2026-05-17T16:06:34,80,0,0,,,1442707,1.0,292376,0.911,93850,0.8287,356393,0.9253,201707,0.8841,195995,0.882,64441,0.8015,516519,0.9522
2026-05-17T16:06:35,80,0,0,,,132555,0.8537,91811,0.8271,102339,0.835,60984,0.7975,82596,0.8195,134569,0.8548,46058,0.7772,186375,0.8784
2026-05-17T16:06:36,80,0,0,,,1741081,1.0,537413,0.9551,127333,0.8508,170050,0.8718,95663,0.8301,183773,0.8774,108813,0.8394,338940,0.9217
2026-05-17T16:06:37,80,0,0,,,1634337,1.0,287826,0.9099,114915,0.8434,257048,0.9017,211359,0.8875,137124,0.8562,260353,0.9026,537863,0.9551
2026-05-17T16:06:38,80,0,0,,,353239,0.9247,418149,0.9369,72602,0.8102,149257,0.8623,215074,0.8888,96877,0.831,225551,0.8922,879036,0.9907
2026-05-17T16:06:39,51,0,0,,,1419090,1.0,2082586,1.0,671592,0.9712,1826821,1.0,558506,0.9578,1202734,1.0,629132,0.9665,2049997,1.0
2026-05-17T16:06:40,51,0,0,,,556078,0.9575,598628,0.9629,452847,0.9427,390274,0.9319,316770,0.9168,118209,0.8454,171821,0.8725,189967,0.8798
2026-05-17T16:06:41,80,0,0,,,693963,0.9736,623784,0.9658,518091,0.9524,233748,0.8948,97976,0.8319,451028,0.9424,64570,0.8017,676943,0.9718
2026-05-17T16:06:42,80,0,0,,,680926,0.9722,459206,0.9437,370346,0.9281,118923,0.8459,298072,0.9124,705873,0.9748,124310,0.8491,1134962,1.0
2026-05-17T16:06:43,80,0,0,,,622581,0.9657,1060509,1.0,223346,0.8915,250332,0.8998,138962,0.8571,384427,0.9308,97556,0.8315,683625,0.9725
2026-05-17T16:06:44,80,0,0,,,513343,0.9517,739438,0.9782,28342,0.7421,287029,0.9097,237636,0.896,203677,0.8848,285590,0.9093,446755,0.9417
2026-05-17T16:06:45,80,0,0,,,1333224,1.0,1316623,1.0,897350,0.9922,721800,0.9764,697337,0.9739,861894,0.9892,1108957,1.0,1530162,1.0
2026-05-17T16:06:46,80,0,0,,,705876,0.9748,697288,0.9739,441271,0.9408,287023,0.9097,112556,0.8419,204441,0.8851,112782,0.842,383153,0.9306
2026-05-17T16:06:47,80,0,0,,,317776,0.917,1642311,1.0,380992,0.9302,193678,0.8812,244809,0.8981,397094,0.9331,95012,0.8296,907682,0.993
2026-05-17T16:06:48,80,0,0,,,528998,0.9539,350831,0.9242,323367,0.9183,381762,0.9303,101425,0.8344,121984,0.8477,113704,0.8426,971792,0.9979
2026-05-17T16:06:49,80,0,0,,,281808,0.9083,613596,0.9646,326491,0.919,514149,0.9518,57343,0.7931,368048,0.9277,103858,0.8361,850967,0.9883
